id,title,description,tiny_description,short_description,medium_description,long_description,price,shelf_time,campus_id,last_update,archived,taxable,category_names,vendor,source,notes,total_cal,num_servings,ingredients,calories,proteins,sugar,carbohydrates,fat,consumer_category,ws_case_size,kiosk_ship_qty,pick_station,fc_title,width_space,height_space,depth_space,slotted_width,tag_volume,delivery_option,tag_applied_by,,,,,
2785,Marin Kombucha - Apple Juniper,.,null,null,null,null,4.09,180,87,1524454849,0,0,Kombucha;Drinks,Marin Kombucha,Marin Kombucha,null,30,2,"kombucha culture, reverse osmosis purified water, organic cane sugar, organic tea blend and apple juniper extract",30,0,2,7,0,Drinks,12,1,2,Probiotic Drink,2.75,6.5,2.75,2.75,1000,P,W,,,,,
2853,Real Wraps - Bean & Cheese Burrito,"Tortilla, Organic Pinto Beans, Monterey Jack Cheese, Cheddar Cheese, Salt, Enzymes, Salsa, Onion, Garlic, Organic Canola Oil, Kosher Salt, Mild Chili Powder and Spices",null,null,null,null,5.59,10,87,1522797494,1,0,"Burrito & similar;Sandwiches, Wraps & Burritos",Real Wraps,Natural Choice,null,270,2,"tortilla, organic pinto beans, organic brown rice, organic tomatoes, organic black beans, bel pepper, cilantro, organic shoyu, apple cider vinegar, lemon juice, jalepeno, cultured dextrose, monterey jack cheese, cheddar cheese, salt, enzymes, salsa, onion, garlic, organic canola oil, kosher salt, mild chili powder, spices",270,13,4,36,10,Burritos,1,1,3,Burritos and Wraps_Veg,3,6.5,2,3,1000,P,W,,,,,
2854,Real Wraps - Burrito Grande,"Tortilla, Organic Pinto Beans, Monterey Jack Cheese, Cheddar Cheese, Salt, Enzymes, Salsa, Onion, Garlic, Organic Canola Oil, Kosher Salt, Mild Chili Powder and Spices",null,null,null,null,5.99,10,87,1524454849,0,0,"Burrito & similar;Sandwiches, Wraps & Burritos",Real Wraps,Natural Choice,null,250,2,"tortilla, organic pinto beans, organic brown rice, organic tomatoes, organic black beans, bel pepper, cilantro, organic shoyu, apple cider vinegar, lemon juice, jalepeno, cultured dextrose, monterey jack cheese, cheddar cheese, salt, enzymes, salsa, onion, garlic, organic canola oil, kosher salt, mild chili powder, spices",250,9,5,35,8,Burritos,1,1,3,Burritos and Wraps_Veg,3,6.5,2,3,2000,P,W,,,,,
2856,Lunch Spot - Thai Style Wrap,"Tomato Tortilla, Grilled Chicken Breast, Jicama, Carrot, Water, Spring Mix, Cucumber, Rice Vinegar, Granulated Sugar, Soy Sauce, Lime Juice, Fresh Garlic, Fresh Ginger, Jalapeno Peppers, Fresh Mint, Fresh Cilantro",null,null,null,null,7.59,6,87,1517533993,0,0,"Sandwiches & Wraps;Sandwiches, Wraps & Burritos",Lunch Spot,Natural Choice,null,999,1,"tomato tortilla, grilled chicken breast, jicama, carrot, water, spring mix, cucumber, rice vinegar, granulated sugar, soy sauce, lime juice, fresh garlic, fresh ginger, jalapeno peppers, fresh mint, fresh cilantro",430,22,9,60,9,Sandwiches & Wraps,1,1,1,Burritos and Wraps_Meat,null,null,null,null,500,P,null,,,,,
2858,Super Fresh Foods - Pan Pacific Chopped Chicken Salad,"Mixed Greens, Grilled Chicken Breast, Red Bell Pepper, Snow Peas, Carrots, Rice Vinegar, Honey, Almonds, Cholesterol Free Mayonnaise, Ginger Root, Soy Sauce, Cane Sugar",null,null,null,null,7.49,7,87,1517533993,0,0,Lettuce & Vegetable Salad;Salads,Super Fresh Foods,Natural Choice,null,260,1,"mixed greens, green cabbage, red cabbage, spring mix, grilled chicken breast, red bell pepper, snow peas, carrots, rice vinegar, honey, almonds, cholesterol free mayonnaise, ginger root, soy sauce, cane sugar",260,16,18,28,11,Soups & Salads,1,1,1,Salads_Meat,6.25,7.25,2,6.25,1000,P,null,,,,,
2859,Super Fresh Foods - BBQ Chopped Salad,.,null,null,null,null,5.99,7,87,1517533993,0,0,Lettuce & Vegetable Salad;Salads,Super Fresh Foods,Natural Choice,null,999,1,"romaine lettuce, smoked tofu, black beans, cherry tomato, monterey jack cheese, tortilla strips; dressing; bbq sauce",390,15,5,28,24,Soups & Salads,1,1,1,Salads_Veg,null,null,null,null,1000,P,null,,,,,
2860,Super Fresh Foods - Santa Fe Salad,.,null,null,null,null,5.99,7,87,1524454849,0,0,Lettuce & Vegetable Salad;Salads,Super Fresh Foods,Natural Choice,null,999,1,"salad: romaine lettuce, spring mix, organic black beans, red bell pepper, organic corn, monterey jack cheese, cheddar cheese, cherry tomato, tortilla strips. dressingL veganaise* fresh lime juice, water, chipotle peppers, organic sugar, garlic, cliantro, kosher salt,",390,13,5,28,25,Soups & Salads,1,1,1,Salads_Veg,6.25,7.25,2,6.25,1000,P,W,,,,,
2880,Urban Remedy - Glow,.,null,null,null,null,9.99,14,87,1517533993,0,0,"Juice, Smoothies & Blends;Drinks",Urban Remedy,Urban Remedy,null,90,1,"cucumber, celery*, spinich*, parsley*,kale*, liquid afa algae (fresh frozen aphanizomenon flos-aluae*), lemon* *=organic",90,9,7,18,1,Drinks,1,1,2,Juice,2.5,6.75,2.5,2.5,200,P,null,,,,,
2882,Urban Remedy - After Party,.,null,null,null,null,9.99,14,87,1517533993,0,0,"Juice, Smoothies & Blends;Drinks",Urban Remedy,Urban Remedy,null,230,1,"carrot*, apple*, beet root*, ginger*, lemon* *=organic",230,3,34,56,1,Drinks,1,1,2,Juice,2.5,6.75,2.5,2.5,200,P,null,,,,,
2883,Odwalla - Odwalla Chocolate Protein,.,null,null,null,null,3.89,90,87,1522891768,0,0,"Juice, Smoothies & Blends;Drinks",Odwalla,Odwalla,null,410,1,"soymilk (water, soybeans), filtered water, cane sugar, milk protein concentrate, isolated soy protein, less than 2% of: dutch cocoa (processed with alkali), tricalcium phosphate, vanilla extract, sea salt, carrageenan, zinc gluconate, agar, vitamin b6 (pyridoxine hydrochloride) and vitamin b12 (cyanocobalamin)",410,32,47,53,8,Drinks,8,1,2,Smoothies & Yogurt Drinks,2.5,7,2.5,2.5,1000,P,W,,,,,
2885,Odwalla - Odwalla Original Superfood,.,null,null,null,null,3.89,90,87,1517533993,0,0,"Juice, Smoothies & Blends;Drinks",Odwalla,Odwalla,null,240,1,"apple juice from concentrate, peach and mango puree from concentrate, banana puree, spirulina, natural flavors, lemon juice, vitamin c, kale, wheat grass, barley grass, wheat sprout, jerusalem artichoke, nova scotia, dulse, pectin, and gellan gum",240,1,51,58,0,Drinks,8,1,2,Smoothies & Yogurt Drinks,2.5,7,2.5,2.5,1000,P,null,,,,,
2941,Justin's - Dark Chocolate Peanut Butter Cups,"Organic Dark Chocolate (Organic Evaporated Cane Sugar, Organic Chocolate Liquor*, Organic Cocoa Butter*, Organic Soy Lecithin, Organic Vanilla), Organic Peanuts, Organic Powdered Evaporated Cane Sugar, Organic Peanut Flour, Organic Palm Fruit Oil**, Organic Cocoa Butter, Organic Vanilla Flavor, Sea Salt, Organic Soy Lecithin.",null,null,null,null,2.79,365,87,1524013556,0,0,Sweet Snacks & Dessert;Snacks,Justin's,Good Stuff,null,220,1,"organic dark chocolate, organic peanuts, organic powdered evaporated cane sugar, organic peanut flour, organic palm fruit oil, organic cocoa butter, organic vanilla flavor, sea salt, organic soy lecithin",210,5,17,21,14,Desserts,12,12,4,Chocolate,2.25,6,0.5,2.25,2000,P,W,,,,,
